Marca temporal,Fecha,Especie observada,Grupo,Transecto encontrado,Comportamiento observado,Notas,Observadores,Evidencia,Etapa,Hora,Microhabitat,Columna 12
24/8/2026 13:04:09,22/8/2025, Incilius coniferus,Anfibio,Transecto 1 (Sendero pricipal),Activo,"Estabamos impactados, ya que era la primera vez que se vimos un sapo trepador en accion",Adrian Quesada y Kevin Salas,https://drive.google.com/open?id=1dgxKXHEYSPtn6NNViQ3xRKi77-OYAuxz,Adulto,9:12:00 p.m.,Tronco caído,
24/8/2026 13:06:23,22/8/2025,Mastigodryas melanolomus,Reptil,Transecto 3 (Naciente la Clarita),Activo,Esta serpiente fue un dolor de cabeza por su identificacion,Adrian Quesada y Kevin Salas,https://drive.google.com/open?id=19mpyFQ6TBh7EqgUpIzC3tD3JNfKT4GRv,Juvenil,9:20:00 p.m.,Vegetación baja,
24/8/2026 13:08:42,22/8/2025,Hydromorphus concolor,Reptil,Transecto 3 (Naciente la Clarita),Activo,Al principio pensamos que era una anguila electrica,Adrian Quesada y Kevin Salas,https://drive.google.com/open?id=14iOzmvjgUTCJiyIgtpnacEGuEktatAow,Adulto,9:25:00 p.m.,Borde de agua,
24/8/2026 13:13:23,22/8/2025,craugastor crassidigitus,Anfibio,Transecto 3 (Naciente la Clarita),Activo,"Nos encanto un detalle muy particular, la luz del foco atrae animales voladores pequeños y la rana se aprovecho de eso",Adrian Quesada y Kevin Salas,https://drive.google.com/open?id=1CRja822Gw8iVw51rQttRW1ilLwZrWAw5,Adulto,9:31:00 p.m.,Roca,
24/8/2026 13:15:43,22/8/2025,Craugastor fitzingeri,Anfibio,Transecto 3 (Naciente la Clarita),Activo,Esta especie tiene un morfo muy similar a crassidigitus por lo que era muy dificil encontrar una diferencia,Adrian Quesada y Kevin Salas,https://drive.google.com/open?id=1CfoD4sLYc1M5jMdTP_5nsiyGjbHGqGE1,Adulto,9:40:00 p.m.,Vegetación baja,
24/8/2026 13:17:16,22/8/2025,Bothriechis nigroadspersus,Reptil,Transecto 1 (Sendero pricipal),Inmóvil,La bocaraca mas hermosa que hemos avistado,Adrian Quesada y Kevin Salas,https://drive.google.com/open?id=1qmWl3zMsI8f2fQkmdwUwzDsfJLUUdONa,Adulto,10:00:00 p.m.,Vegetación baja,
24/8/2026 13:19:26,22/8/2025,Bothriechis nigroadspersus,Reptil,Transecto 3 (Naciente la Clarita),Activo,Vista el mismo dia que la otra bocaraca,Adrian Quesada y Kevin Salas,https://drive.google.com/open?id=1Xwa4HGP9PJiwy6vY9CGiC1KfSmS-zghS,Adulto,10:26:00 p.m.,Vegetación baja,
24/8/2026 13:28:57,22/8/2025,Leptodeira sp. aff. ornata,Reptil,Transecto 1 (Sendero pricipal),Activo,Primera especie del genero Leptodeira,Adrian Quesada y Kevin Salas,https://drive.google.com/open?id=1WoyZsx9ajOSpUII60wUlu-HF634pYgry,Adulto,10:37:00 p.m.,Tronco caído,
24/8/2026 13:30:55,22/8/2025, Agalychnis callidryas,Anfibio,Transecto 3 (Naciente la Clarita),Inmóvil,Estaba al lado de la naciente al inicio,Adrian Quesada y Kevin Salas,https://drive.google.com/open?id=1A0cr0JBBsNpoY-__tSE1SRzvn3ynJIKl,Adulto,1:40:00 p.m.,Tronco caído,
24/8/2026 13:32:38,22/8/2025,Craugastor fitzingeri,Anfibio,Transecto 3 (Naciente la Clarita),Activo,Ya se podia diferenciar con crassidigitus,Adrian Quesada y Kevin Salas,https://drive.google.com/open?id=1PNFEvxAqapQ6emvVZ8CCzPdAZRtyqQIp,Adulto,10:49:00 p.m.,Roca,
24/8/2026 13:34:56,22/8/2025,Agalychnis callidryas,Anfibio,Transecto 3 (Naciente la Clarita),Activo,Fue una foto exelente sobre una rama posada,Adrian Quesada y Kevin Salas,https://drive.google.com/open?id=1-n3D0yyCi4pgscMyQJTUZ1F-uvCs0PB6,Adulto,10:53:00 a.m.,Vegetación baja,
24/8/2026 13:38:11,22/8/2025,Boana rufitela,Anfibio,Transecto 3 (Naciente la Clarita),Croando,En un inicio pensabamos de que se trataba de Teratohyla celeste,Adrian Quesada y Kevin Salas,https://drive.google.com/open?id=1ird3VlnVtxmAuS21JFP5w1wCNh50618O,Adulto,11:00:00 p.m.,Vegetación baja,
24/8/2026 13:41:47,29/8/2025,Craugastor bransfordii,Anfibio,Transecto 1 (Sendero pricipal),Activo,"Super dificil de identificar, ya que tiene un monton de morfos diferentes. Es incredible el polimorfismo de esta especie",Adrian Quesada y Kevin Salas,https://drive.google.com/open?id=1iyeel5DkRWK_eJJxFFDPPTtUCZOzCjNi,Adulto,8:25:00 p.m.,Hojarasca,
24/8/2026 13:44:58,29/8/2025, Bolitoglossa striatula,Anfibio,Transecto 2 (Sendero secundario),Inmóvil,"Fue una confucion grande, ya que se pensaba que era un reptil",Adrian Quesada y Kevin Salas,https://drive.google.com/open?id=14pFG3fdepzGdXFBKbWYYlxllHyzqOK00,Adulto,9:30:00 a.m.,Vegetación baja,
24/8/2026 13:48:30,29/8/2026, Rhinoclemmys funerea,Reptil,Transecto 3 (Naciente la Clarita),Activo,Primera tortuga vista,Adrian Quesada y Kvin Salas,https://drive.google.com/open?id=1MuXMlcwNIAXEHAJdFc1T46gWvFt0MQUY,Adulto,10:24:00 p.m.,Borde de agua,
